sembrada,cosechada,siniestrada,volumenproduccion,latitud,longitud,altitud,cicloproductivo_Otoño-Invierno,cicloproductivo_Perennes,cicloproductivo_Primavera-Verano,modalidad_Riego,modalidad_Temporal,cultivo_Avena forrajera en verde,cultivo_Frijol,cultivo_Maíz grano,cultivo_Pastos y praderas,cultivo_Tomate rojo (jitomate),K=8 Cluster Labels,rendimiento,cultivo,estado
27.5,27.5,0.0,187.0,20.879444,-103.835556,1199.0,1,0,0,1,0,0,0,1,0,0,5,6.8,Maíz grano,Jalisco
35.0,35.0,0.0,62.3,23.622163,-103.92187,1971.0,0,0,1,1,0,0,1,0,0,0,2,1.78,Frijol,Durango
58.0,58.0,0.0,62.3,19.983959,-101.76146,1820.0,1,0,0,1,0,0,1,0,0,0,5,1.07,Frijol,Michoacán
52.0,52.0,0.0,1253.2,22.354259,-102.883726,1899.0,1,0,0,1,0,1,0,0,0,0,0,24.1,Avena forrajera en verde,Zacatecas
120.0,120.0,0.0,3084.0,20.532602,-98.638621,1365.0,0,1,0,0,1,0,0,0,1,0,3,25.7,Pastos y praderas,Hidalgo
485.0,124.0,361.0,59.13,22.26656,-101.112912,2017.0,0,0,1,0,1,0,1,0,0,0,2,0.48,Frijol,San Luis Potosí
830.0,350.0,480.0,210.0,24.859653,-99.567869,350.0,0,0,1,0,1,0,0,1,0,0,6,0.6,Maíz grano,Nuevo León
175.0,175.0,0.0,52.05,21.139878,-100.066913,1557.0,0,0,1,0,1,0,1,0,0,0,2,0.3,Frijol,Guanajuato
210.0,210.0,0.0,189.0,18.210768,-98.221355,1171.0,0,0,1,0,1,0,0,1,0,0,6,0.9,Maíz grano,Puebla
45.0,45.0,0.0,67.5,18.802161,-96.060888,3.0,1,0,0,1,0,0,1,0,0,0,1,1.5,Frijol,Veracruz
125.5,125.5,0.0,77.81,16.564276,-96.731901,1450.0,0,0,1,0,1,0,1,0,0,0,2,0.62,Frijol,Oaxaca
200.0,200.0,0.0,1720.0,22.862194,-102.609535,2308.0,0,0,1,0,1,1,0,0,0,0,0,8.6,Avena forrajera en verde,Zacatecas
108.0,108.0,0.0,206.28,18.810522,-97.073438,1139.0,0,0,1,0,1,0,0,1,0,0,6,1.91,Maíz grano,Veracruz
